frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
216,10.285714,far,0.000000,16.289000,16.289000,0.000000
217,10.333333,near,3.178000,29.901000,29.901000,3.178000
217,10.333333,far,0.000000,16.289000,16.289000,0.000000
218,10.380952,near,3.216000,29.948000,29.948000,3.216000
218,10.380952,far,0.000000,16.289000,16.289000,0.000000
219,10.428571,near,3.134000,30.026000,30.026000,3.134000
219,10.428571,far,0.000000,16.289000,16.289000,0.000000
220,10.476190,near,3.147000,30.099000,30.099000,3.147000
220,10.476190,far,0.000000,16.289000,16.289000,0.000000
221,10.523810,near,3.061000,30.211000,30.211000,3.061000
221,10.523810,far,0.000000,16.289000,16.289000,0.000000
222,10.571429,near,2.573000,30.211000,30.211000,2.573000
222,10.571429,far,0.000000,16.289000,16.289000,0.000000
223,10.619048,near,1.247000,30.257000,30.257000,1.247000
223,10.619048,far,0.000000,16.289000,16.289000,0.000000
224,10.666667,near,1.083000,30.257000,30.257000,1.083000
224,10.666667,far,0.000000,16.289000,16.289000,0.000000
225,10.714286,near,1.117000,30.345000,30.345000,1.117000
225,10.714286,far,0.000000,16.289000,16.289000,0.000000
226,10.761905,near,1.219000,30.448000,30.448000,1.219000
226,10.761905,far,0.000000,16.289000,16.289000,0.000000
227,10.809524,near,1.184000,30.549000,30.549000,1.184000
227,10.809524,far,0.000000,16.289000,16.289000,0.000000
228,10.857143,near,1.523000,30.646000,30.646000,1.523000
228,10.857143,far,0.000000,16.289000,16.289000,0.000000
229,10.904762,near,1.720000,30.749000,30.749000,1.720000
229,10.904762,far,0.000000,16.289000,16.289000,0.000000
230,10.952381,near,1.956000,30.816000,30.816000,1.956000
230,10.952381,far,0.000000,16.289000,16.289000,0.000000
231,11.000000,near,2.480000,31.054000,31.054000,2.480000
231,11.000000,far,0.308000,19.372000,19.372000,0.308000
232,11.047619,near,2.838000,31.259000,31.259000,2.838000
232,11.047619,far,0.371000,19.390000,19.390000,0.371000
233,11.095238,near,2.483000,31.259000,31.259000,2.483000
233,11.095238,far,0.434000,19.408000,19.408000,0.434000
234,11.142857,near,2.256000,31.291000,31.291000,2.256000
234,11.142857,far,1.169000,19.618000,19.618000,1.169000
